name;address;phone;site;email
Costa Pietro & Figli S.r.l.;Via Enrico Fermi 19 36030 Motta VI Italy;+390444553428;costasrl.com;info@costasrl.com
Carlo Weingrill dal 1879;;+390497330778;carloweingrill.com;
Fabor srl;Via Europa 10 36050 Cartigliano VI Italy;+3904241890494;faboritaly.com;info@faboritalia.com
Fratelli Bovo S.r.l;Via Postale Vecchia 120 36070 Trissino VI Italy;+390445962441;fratellibovo.com;
Argenteria Lovi;Via Nazionale 145 36056 Tezze sul Brenta VI Italy;+390424561541;loviargenteria.com;info@loviargenteria.comgrazie, info@loviargenteria.com
Marystè;Via Romanina 3 a 31033 Castelfranco Veneto TV Italy;+393519634711;maryste.com;
Favero Mariano Srl;Via Zaccaria Bricito 14 36061 Bassano del Grappa VI Italy;+390424220016;faverojewels.com;
Calegaro F.Lli Di Luigi & C (S.R.L.);Riviera Paleocapa 76 35141 Padova PD Italy;+390498722354;;
Bassano Chains Srl;Via Monte Verena 23 36022 San Giuseppe VI Italy;+390424570723;bassanochains.it;info@bassanochains.it
Magimex Italia;Via Chiuppese 9 36010 Monticello Conte Otto VI Italy;+390444301627;magimexitalia.com;info@magimexitalia.com
DIBI S.p.a.;Via Grande 89 36022 Cassola VI Italy;+390424534099;dibispa.com;
Minorini Gioielli;Via Giuseppe Jappelli 23 35031 Abano Terme PD Italy;+390498669587;minorinigioielli.it;minorinigioielli@gmail.com
Filk S.p.A.;Via dell'Industria 8 36065 Mussolente VI Italy;+390424579411;filk.it;filk@filk.itcs, filk@filk.it, filk@filk.itcs
Karizia S.P.A.;Via Lorenzo Perosi 18 36022 Cassola VI Italy;+390424511442;karizia.it;karizia@legalmail.itp, info@karizia.it
F.I.S.;Viale Milano 26 36075 Montecchio Maggiore-Alte Ceccato VI Italy;+390444708011;fisvi.com;
Tecnigold;Via Molini 30 31030 Borso del Grappa TV Italy;+3904239128;tecnigold.com;info@tecnigold.com
Gioielli Roberto Beretta Arte Orafa;Via Altinate 65 35121 Padova PD Italy;+393934110175;robertoberettagioielli.it;robertoberettagioielli@gmail.com
Ceccato Aria Compressa srl;Via Soastene 34 36040 Brendola VI Italy;+390444703911;ceccato.com;export@multiairitalia.com, commerciale@ceccato.com, info.commerciale@ceccato.com, Info.commerciale@ceccato.com, Sibongile.mtaopane@ceccato-compressors.com, nam.pham@ceccato-compressors.com, 
Oro Perla Srl;Via Massignani 22 36070 Massignani VI Italy;+390445962555;;
GHIRO GIOIELLI;Viale delle Terme 111 35031 Abano Terme PD Italy;+390498668755;ghirogioielli.com;info@ghirogioielli.com
